"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_LIKENESS"
1,2021,1,2021,"KR",23
1,2021,2,2021,"KR",41
1,2021,1,2021,"KI",116
1,2020,1,2020,"GEO",39
1,2020,1,2020,"PI_AM",110
1,2020,2,2020,"NG",44
1,2020,3,2020,"CYP",1
1,2020,3,2020,"PI_WE",6
1,2020,2,2020,"PI_WE",14
1,2020,3,2020,"CS",3
1,2020,3,2020,"NIS",9
1,2020,4,2020,"NG",13
1,2020,1,2020,"KI",46
1,2020,5,2020,"IB",14
1,2020,1,2020,"IR",23
1,2020,3,2020,"PI_SM",12
1,2020,1,2020,"COK",3
1,2020,1,2020,"PI_LS",2
2,2020,2,2020,"BLZ",6
2,2020,8,2020,"PI_WE",1
2,2020,2,2020,"CYP",6
2,2020,2,2020,"AMSA",5
2,2020,3,2020,"NG",75
2,2020,4,2020,"NG",22
2,2020,11,2020,"PI_JS",6
2,2020,3,2020,"PI_JS",2
2,2020,2,2020,"KP",1
2,2020,5,2020,"NG",1
2,2020,3,2020,"GIBSONS",2
3,2020,3,2020,"NB",48
3,2020,3,2020,"IOM",17
3,2020,5,2020,"DMA",10
3,2020,3,2020,"PI_SC",12
3,2020,9,2020,"PI_SK",153
3,2020,10,2020,"PI_SK",6
3,2020,3,2020,"TU",24
3,2020,3,2020,"HV",1
4,2020,4,2020,"NK",122
4,2020,9,2020,"PI_AM",8
4,2020,7,2020,"VUT",1
4,2020,5,2020,"TUR",22
4,2020,6,2020,"NK",11
4,2020,5,2020,"PI_WE",1
4,2020,9,2020,"PI_WE",6
4,2020,6,2020,"PI_WE",21
4,2020,9,2020,"NIS",1
4,2020,9,2020,"PI_SK",8870
4,2020,6,2020,"PI_GA",187
4,2020,7,2020,"PI_GA",5
4,2020,9,2020,"MHL",17
4,2020,4,2020,"HV",1
4,2020,8,2020,"PLW",1
4,2020,9,2020,"LUX",1
4,2020,4,2020,"SYC",1
4,2020,6,2020,"KP",2
5,2020,5,2020,"MLT",3
5,2020,5,2020,"GHOST_VESSEL",3
5,2020,5,2020,"KR",147
5,2020,5,2020,"PI_WE",17
5,2020,11,2020,"BV",26
5,2020,8,2020,"TU",1
5,2020,5,2020,"TGO",4
5,2020,8,2020,"IR",9
5,2020,9,2020,"PI_SK",20
5,2020,9,2020,"VUT",1
5,2020,9,2020,"AMSA",2
6,2020,6,2020,"KR",39
6,2020,6,2020,"MHL",16
6,2020,7,2020,"MLT",1
6,2020,6,2020,"PI_SM",9
6,2020,6,2020,"TU",5
6,2020,7,2020,"KI",123
7,2020,10,2020,"PI_AM",3
7,2020,7,2020,"NB",7
7,2020,8,2020,"NK",8
7,2020,8,2020,"UKR",62
8,2020,9,2020,"PI_WE",12
8,2020,11,2020,"KI",4
8,2020,10,2020,"VN",12
8,2020,11,2020,"NK",8
8,2020,12,2020,"NK",7
8,2020,11,2020,"PI_ST",2
8,2020,11,2020,"RINA",5
9,2020,10,2020,"CS",871
9,2020,10,2020,"KR",16
9,2020,9,2020,"BLACKSEA",1
9,2020,11,2020,"PI_WE",4
9,2020,10,2020,"NK",10
9,2020,11,2020,"NK",7
9,2020,11,2020,"PI_SC",144
9,2020,1,2021,"PI_SC",9
9,2020,12,2020,"BV",6
9,2020,10,2020,"PI_JS",8
9,2020,9,2020,"KI",1
9,2020,12,2020,"DB",11
10,2020,10,2020,"VCT",4
10,2020,10,2020,"TUR",1
10,2020,10,2020,"PI_SC",1
10,2020,11,2020,"PI_ST",2
10,2020,10,2020,"COK",33
10,2020,11,2020,"LBR",2
10,2020,11,2020,"PR",14
10,2020,11,2020,"GIBSONS",1
11,2020,12,2020,"NB",8
11,2020,11,2020,"TUV",1
11,2020,11,2020,"PI_JS",8
11,2020,12,2020,"MHL",8
12,2020,1,2021,"BV",5
12,2020,2,2021,"NK",2
12,2020,12,2020,"NG",1
12,2020,12,2020,"PI_SK",31
12,2020,12,2020,"LR",1
1,2021,2,2021,"CS",35
10,2020,12,2020,"",0
1,2020,1,2020,"NK",165
1,2020,3,2020,"NG",41
1,2020,4,2020,"PI_GA",1
1,2020,3,2020,"HRV",2
1,2020,1,2020,"TUV",4
1,2020,1,2020,"PH",41
1,2020,9,2020,"IR",26
1,2020,9,2020,"NG",7
1,2020,2,2020,"PI_SM",167
1,2020,2,2020,"PI_SK",298
1,2020,1,2020,"FRA",3
1,2020,3,2020,"BLZ",5
1,2020,2,2020,"BLZ",1
1,2020,1,2020,"KP",5
2,2020,2,2020,"PI_AM",80
2,2020,2,2020,"BV",925
2,2020,2,2020,"NG",267
2,2020,2,2020,"AB",32
2,2020,9,2020,"NG",14
2,2020,2,2020,"BK",15
2,2020,3,2020,"PI_ST",735
2,2020,2,2020,"ECU",1
3,2020,3,2020,"LUX",29
3,2020,3,2020,"VCT",8
3,2020,3,2020,"IR",40
3,2020,5,2020,"BV",16
3,2020,3,2020,"PI_GA",65
3,2020,3,2020,"PI_WE",115
3,2020,3,2020,"BK",14
3,2020,3,2020,"OV",3
3,2020,5,2020,"PI_SM",11
3,2020,5,2020,"NG",6
4,2020,4,2020,"MHL",17
4,2020,4,2020,"RINA",74
4,2020,4,2020,"VCT",11
4,2020,8,2020,"VUT",1
4,2020,4,2020,"DB",8
4,2020,4,2020,"TU",1478
4,2020,8,2020,"NK",11
4,2020,5,2020,"VN",38
4,2020,6,2020,"VN",19
4,2020,5,2020,"KR",98
4,2020,6,2020,"PI_SK",22365
4,2020,6,2020,"BLACKSEA",1
4,2020,6,2020,"CS",29
4,2020,4,2020,"VZ",1
4,2020,4,2020,"LUX",3
4,2020,6,2020,"PLW",7
4,2020,5,2020,"RINA",12
5,2020,5,2020,"TUV",1
5,2020,5,2020,"NG",32
5,2020,5,2020,"ECU",2
5,2020,5,2020,"VCT",8
5,2020,5,2020,"IR",14
5,2020,5,2020,"TU",21
5,2020,5,2020,"AB",2
5,2020,5,2020,"VN",37
5,2020,6,2020,"TUR",38
5,2020,10,2020,"BV",138
5,2020,5,2020,"PI_ST",41
5,2020,6,2020,"NG",6
5,2020,9,2020,"NK",5
5,2020,6,2020,"BK",8
5,2020,8,2020,"CS",667
5,2020,5,2020,"PI_NE",1
5,2020,9,2020,"FRA",2
5,2020,6,2020,"KR",29
6,2020,6,2020,"NG",53
6,2020,6,2020,"IR",19
6,2020,6,2020,"LBR",43
6,2020,6,2020,"AMSA",3
6,2020,6,2020,"PI_WE",11
6,2020,6,2020,"TGO",1
6,2020,6,2020,"VN",10
6,2020,11,2020,"NG",2
6,2020,6,2020,"RS",1
6,2020,6,2020,"IB",33
7,2020,7,2020,"PI_AM",70
7,2020,10,2020,"BV",5
7,2020,7,2020,"CS",2469
7,2020,8,2020,"KI",11
7,2020,7,2020,"PI_WE",14
7,2020,9,2020,"VN",3
7,2020,7,2020,"PI_SM",7
8,2020,12,2020,"BV",5
8,2020,10,2020,"PI_SM",2
8,2020,10,2020,"NK",24
8,2020,1,2021,"PI_JS",7
8,2020,10,2020,"PI_WE",1
8,2020,9,2020,"PI_SK",21
8,2020,9,2020,"RINA",5
9,2020,10,2020,"TGO",2
9,2020,9,2020,"PI_JS",12
9,2020,9,2020,"PI_SC",24
9,2020,11,2020,"VN",5
9,2020,11,2020,"PH",2
9,2020,11,2020,"PI_SK",7
9,2020,9,2020,"NG",2
10,2020,11,2020,"PI_GA",6
10,2020,11,2020,"PI_WE",22
10,2020,10,2020,"PI_ST",55
10,2020,12,2020,"RINA",3
11,2020,12,2020,"KI",69
12,2020,12,2020,"AMSA",1
12,2020,12,2020,"CS",75
1,2021,1,2021,"GIBSONS",1
1,2021,2,2021,"LR",1
1,2021,2,2021,"FRO",8
2,2021,2,2021,"PI_SC",2
1,2020,1,2020,"MHL",18
1,2020,3,2020,"TU",2
1,2020,1,2020,"TUR",16
1,2020,9,2020,"LBR",4
1,2020,4,2020,"PI_WE",4
1,2020,1,2020,"PI_NE",5
1,2020,1,2020,"VUT",3
1,2020,2,2020,"MLT",2
1,2020,2,2020,"PI_AM",2
1,2020,2,2020,"PLW",2
1,2020,2,2020,"KP",3
1,2020,1,2020,"SYC",2
1,2020,1,2020,"GHOST_VESSEL",1
2,2020,3,2020,"PI_AM",37
2,2020,2,2020,"PI_ST",371
2,2020,2,2020,"PI_NE",8
2,2020,2,2020,"GRC",11
2,2020,2,2020,"KI",214
2,2020,2,2020,"HV",5
2,2020,2,2020,"RS",4
2,2020,2,2020,"IR",72
2,2020,2,2020,"PI_SM",111
2,2020,2,2020,"KR",52
2,2020,2,2020,"PLW",24
2,2020,2,2020,"PI_WE",84
2,2020,2,2020,"GEO",11
2,2020,2,2020,"PI_CA",7
