"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_IGNORED"
1,2020,3,2020,"PLW",15
1,2020,1,2020,"PLW",17
1,2020,1,2020,"GRC",2
1,2020,1,2020,"RS",1
2,2020,5,2020,"BV",2
2,2020,4,2020,"BV",92
2,2020,3,2020,"VUT",2
2,2020,3,2020,"TU",2
2,2020,2,2020,"TUR",1629
2,2020,2,2020,"CS",229
2,2020,2,2020,"NIS",10
2,2020,2,2020,"MHL",38
2,2020,5,2020,"LBR",4
2,2020,5,2020,"PI_WE",26
2,2020,5,2020,"NK",10
2,2020,3,2020,"TGO",4
2,2020,3,2020,"VN",24
2,2020,2,2020,"IOM",16
2,2020,8,2020,"BK",3
2,2020,2,2020,"TUV",11
2,2020,10,2020,"TUR",16
2,2020,2,2020,"VDM",1
2,2020,2,2020,"VCT",1
2,2020,2,2020,"PI_KO",2
2,2020,4,2020,"PI_SM",37
2,2020,5,2020,"PI_SM",12
2,2020,4,2020,"IR",1
3,2020,3,2020,"KR",417
3,2020,3,2020,"BLACKSEA",61
3,2020,3,2020,"CS",909
3,2020,11,2020,"PI_AM",12
3,2020,8,2020,"LBR",13
3,2020,7,2020,"LBR",5
3,2020,5,2020,"BLACKSEA",17
3,2020,9,2020,"IR",3
3,2020,9,2020,"NK",27
3,2020,8,2020,"TUR",22
3,2020,7,2020,"TUR",3
3,2020,5,2020,"TUR",12
3,2020,4,2020,"KR",4
3,2020,3,2020,"PH",22
3,2020,9,2020,"PI_GA",4
3,2020,5,2020,"PI_ST",3
3,2020,3,2020,"GEO",1
3,2020,11,2020,"PI_SM",8
3,2020,6,2020,"PI_SM",33
3,2020,9,2020,"MHL",20
3,2020,7,2020,"VCT",7
4,2020,4,2020,"BV",1379
4,2020,4,2020,"PI_AM",101
4,2020,4,2020,"PI_SK",21124
4,2020,5,2020,"LBR",47
4,2020,4,2020,"IB",88
4,2020,4,2020,"PLW",6
4,2020,4,2020,"COK",15
4,2020,5,2020,"TU",518
4,2020,11,2020,"NK",8
4,2020,4,2020,"VDM",2
4,2020,4,2020,"PI_JS",1
4,2020,7,2020,"VN",10
4,2020,5,2020,"NG",32
4,2020,5,2020,"PI_SK",9170
4,2020,7,2020,"PI_SK",893
4,2020,5,2020,"CS",207
4,2020,6,2020,"NG",59
4,2020,4,2020,"ML",2
4,2020,5,2020,"TGO",5
4,2020,9,2020,"LR",12
4,2020,4,2020,"CS",523
4,2020,8,2020,"KP",80
4,2020,11,2020,"KP",3
4,2020,12,2020,"KP",2
5,2020,6,2020,"TUV",1
5,2020,6,2020,"LBR",66
5,2020,8,2020,"LBR",8
5,2020,8,2020,"PI_AM",20
5,2020,5,2020,"KP",5
5,2020,9,2020,"MHL",69
5,2020,8,2020,"BLACKSEA",83
5,2020,8,2020,"VDM",3
5,2020,9,2020,"PI_WE",20
5,2020,7,2020,"NG",2
5,2020,8,2020,"KR",41
5,2020,6,2020,"PI_JS",22
5,2020,6,2020,"PI_SK",307
5,2020,5,2020,"LR",6
5,2020,7,2020,"CS",68
5,2020,8,2020,"PI_SK",87
6,2020,9,2020,"BV",43
6,2020,7,2020,"BLACKSEA",15
6,2020,6,2020,"NIS",1
6,2020,7,2020,"VN",1
6,2020,6,2020,"PI_ST",310
6,2020,6,2020,"PI_SC",6
6,2020,6,2020,"GHOST_VESSEL",2
6,2020,7,2020,"PI_SK",11
6,2020,11,2020,"PI_SK",48
6,2020,7,2020,"UKR",68
6,2020,9,2020,"MLT",1
7,2020,7,2020,"AMSA",7
7,2020,10,2020,"NG",5
7,2020,12,2020,"LBR",2
7,2020,7,2020,"IOM",44
7,2020,7,2020,"PI_BR",6
7,2020,12,2020,"CS",217
7,2020,7,2020,"PH",19
7,2020,10,2020,"PI_WE",27
7,2020,10,2020,"NK",8
7,2020,8,2020,"PI_JS",14
7,2020,8,2020,"MHL",5
7,2020,7,2020,"PI_ST",94
7,2020,7,2020,"PR",1
7,2020,8,2020,"PI_GA",9
7,2020,10,2020,"PI_GA",9
7,2020,8,2020,"KR",5
