"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","CONFLICT_STATUS","DATA_FEED","COUNT_STATUS_PER_FEED"
12,2020,12,2020,"IGNORED","LUX",1
12,2020,,,"PENDING","VUT",4
12,2020,12,2020,"IGNORED","PI_BR",15
12,2020,,,"PENDING","BV",200
12,2020,12,2020,"MANUAL UPDATE","BV",29
12,2020,12,2020,"IGNORED","CS",46
12,2020,12,2020,"MANUAL UPDATE","IOM",1
12,2020,1,2021,"MANUAL UPDATE","PI_AM",3
12,2020,1,2021,"IGNORED","BV",5
12,2020,1,2021,"MANUAL UPDATE","BV",4
12,2020,12,2020,"IGNORED","PI_SM",12
12,2020,,,"PENDING","PI_SC",19
12,2020,1,2021,"IGNORED","PI_SC",1
12,2020,12,2020,"MANUAL UPDATE","PI_ST",7
12,2020,12,2020,"IGNORED","AMSA",1
12,2020,12,2020,"MANUAL UPDATE","MLT",3
12,2020,,,"PENDING","GIBSONS",4
12,2020,12,2020,"IGNORED VALUE","AMSA",1
1,2021,,,"PENDING","TU",2
1,2021,1,2021,"IGNORED","LBR",47
1,2021,,,"PENDING","PI_BM",71
1,2021,1,2021,"IGNORED","PI_SC",18
1,2021,1,2021,"IGNORED","CS",35
1,2021,1,2021,"IGNORED VALUE","TUR",1
1,2021,1,2021,"IGNORED","LR",76
1,2021,1,2021,"IGNORED","TGO",1
1,2021,2,2021,"IGNORED","PI_ST",1
1,2021,,,"PENDING","LR",23
1,2021,2,2021,"IGNORED","LR",29
1,2021,2,2021,"MANUAL UPDATE","CS",5
1,2021,2,2021,"MANUAL UPDATE","PI_SM",7
1,2021,1,2021,"IGNORED","GHOST_VESSEL",1
1,2021,,,"PENDING","VCT",13
1,2021,2,2021,"MANUAL UPDATE","VCT",1
1,2021,2,2021,"IGNORED","VCT",2
2,2021,,,"PENDING","PI_BM",31
2,2021,2,2021,"IGNORED","TU",3
2,2021,2,2021,"MANUAL UPDATE","TU",1
2,2021,,,"PENDING","DMA",2
2,2021,2,2021,"IGNORED","BLZ",3
2,2021,2,2021,"IGNORED","TGO",1
2,2021,2,2021,"IGNORED","PI_ST",3
2,2021,2,2021,"IGNORED","FRO",1
2,2021,2,2021,"IGNORED","UKR",1
2,2021,,,"PENDING","BK",1
2,2021,,,"PENDING","CUW",3
2,2021,,,"PENDING","RINA",76
2,2021,2,2021,"IGNORED","VN",1
2,2021,2,2021,"IGNORED","MLT",1
1,2020,1,2020,"IGNORED","MHL",24
1,2020,3,2020,"MANUAL UPDATE","TUV",3
1,2020,3,2020,"MANUAL UPDATE","PI_AM",11
1,2020,2,2020,"MANUAL UPDATE","PI_AM",3
1,2020,3,2020,"MANUAL UPDATE","PI_GA",35
1,2020,9,2020,"MANUAL UPDATE","PI_GA",4
1,2020,7,2020,"MANUAL UPDATE","PI_GA",1
1,2020,3,2020,"IGNORED","ML",2
1,2020,3,2020,"MANUAL UPDATE","LBR",4
1,2020,9,2020,"MANUAL UPDATE","LBR",2
1,2020,,,"PENDING","LBR",2
1,2020,3,2020,"MANUAL UPDATE","BV",20
1,2020,3,2020,"MANUAL UPDATE","MLT",9
1,2020,1,2020,"MANUAL UPDATE","CYP",1
1,2020,,,"PENDING","PH",5
1,2020,1,2020,"IGNORED","PH",13
1,2020,6,2020,"IGNORED","PH",1
1,2020,2,2020,"MANUAL UPDATE","PI_WE",6
1,2020,1,2020,"MANUAL UPDATE","MHL",5
1,2020,2,2020,"IGNORED","CS",6
1,2020,5,2020,"MANUAL UPDATE","IR",1
1,2020,2,2020,"IGNORED","PI_JS",3
1,2020,4,2020,"MANUAL UPDATE","VN",5
1,2020,3,2020,"IGNORED","VN",1
1,2020,2,2020,"IGNORED","VN",1
1,2020,3,2020,"MANUAL UPDATE","NIS",7
1,2020,4,2020,"IGNORED","NIS",2
1,2020,8,2020,"MANUAL UPDATE","NIS",1
1,2020,,,"PENDING","KR",3
1,2020,1,2020,"IGNORED","TUR",4
1,2020,3,2020,"MANUAL UPDATE","RINA",17
1,2020,4,2020,"IGNORED","NG",5
1,2020,3,2020,"IGNORED","NG",10
1,2020,5,2020,"IGNORED","NG",1
1,2020,10,2020,"MANUAL UPDATE","VUT",1
1,2020,5,2020,"MANUAL UPDATE","MLT",1
1,2020,2,2020,"MANUAL UPDATE","RINA",17
1,2020,3,2020,"IGNORED","RINA",13
1,2020,4,2020,"IGNORED","GIBSONS",4
1,2020,8,2020,"MANUAL UPDATE","RINA",1
1,2020,3,2020,"IGNORED","CM",1
1,2020,4,2020,"IGNORED","BLACKSEA",23
1,2020,3,2020,"MANUAL UPDATE","BLACKSEA",3
1,2020,3,2020,"MANUAL UPDATE","COK",5
1,2020,7,2020,"MANUAL UPDATE","PLW",1
1,2020,1,2020,"IGNORED","RS",1
2,2020,,,"PENDING","PI_LS",2
2,2020,12,2020,"IGNORED","PI_AM",1
2,2020,3,2020,"MANUAL UPDATE","PI_AM",6
2,2020,2,2020,"MANUAL UPDATE","NK",6
2,2020,2,2020,"IGNORED VALUE","BV",2
2,2020,2,2020,"MANUAL UPDATE","MHL",8
2,2020,3,2020,"IGNORED","TU",1
