"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","DATA_FEED","NUM_MANUAL_UPDATE"
9,2020,9,2020,"PI_SK",1
10,2020,11,2020,"KR",62
10,2020,11,2020,"NK",11
10,2020,11,2020,"PI_SK",23
10,2020,12,2020,"MLT",1
10,2020,11,2020,"PI_BM",66
10,2020,12,2020,"PR",6
10,2020,10,2020,"KI",3
10,2020,12,2020,"KI",56
10,2020,10,2020,"PI_SM",2
10,2020,10,2020,"PI_SK",2
10,2020,12,2020,"VCT",2
11,2020,11,2020,"PI_AM",4
11,2020,1,2021,"PI_AM",3
11,2020,12,2020,"PI_WE",21
11,2020,11,2020,"TUR",1
12,2020,1,2021,"PI_JS",2
12,2020,12,2020,"KR",1
1,2021,1,2021,"PI_SC",8
1,2021,1,2021,"CS",165
1,2021,1,2021,"LBR",15
1,2021,1,2021,"VUT",1
1,2021,1,2021,"LR",67
1,2021,2,2021,"PI_SK",27
1,2021,2,2021,"NG",1
1,2021,2,2021,"TGO",2
2,2021,2,2021,"MHL",16
2,2021,2,2021,"CS",17
2,2021,2,2021,"PI_AM",5
1,2020,1,2020,"NIS",7
1,2020,1,2020,"DB",2
1,2020,3,2020,"MLT",10
1,2020,3,2020,"PLW",24
1,2020,1,2020,"PLW",15
1,2020,1,2020,"CS",3
1,2020,9,2020,"PI_WE",15
1,2020,3,2020,"PI_ST",10
1,2020,2,2020,"NK",11
1,2020,3,2020,"AMSA",5
1,2020,1,2020,"AMSA",1
1,2020,6,2020,"NIS",5
1,2020,7,2020,"NG",22
1,2020,2,2020,"COK",2
1,2020,7,2020,"PLW",9
1,2020,5,2020,"KR",12
2,2020,4,2020,"BV",241
2,2020,5,2020,"BV",239
2,2020,5,2020,"LBR",4
2,2020,3,2020,"VUT",1
2,2020,2,2020,"MHL",9
2,2020,4,2020,"PI_SM",4
2,2020,3,2020,"TU",3
2,2020,2,2020,"TUR",5
2,2020,4,2020,"VZ",1
2,2020,5,2020,"PI_WE",3
2,2020,5,2020,"NK",4
2,2020,3,2020,"TGO",1
2,2020,4,2020,"KR",18
2,2020,2,2020,"NIS",5
2,2020,6,2020,"NIS",7
2,2020,3,2020,"VN",2
2,2020,7,2020,"TUR",10
2,2020,10,2020,"TUR",8
2,2020,6,2020,"TUR",4
2,2020,12,2020,"TUR",10
2,2020,10,2020,"CYP",3
2,2020,8,2020,"MLT",1
2,2020,6,2020,"MB",1
2,2020,4,2020,"IR",5
3,2020,5,2020,"TUV",3
3,2020,3,2020,"KR",13
3,2020,4,2020,"LBR",8
3,2020,8,2020,"LBR",28
3,2020,5,2020,"VCT",11
3,2020,9,2020,"IR",12
3,2020,8,2020,"IR",10
3,2020,9,2020,"NK",21
3,2020,7,2020,"LBR",7
3,2020,8,2020,"TUR",6
3,2020,8,2020,"NIS",4
3,2020,5,2020,"PI_ST",9
3,2020,9,2020,"MHL",71
3,2020,9,2020,"PI_GA",5
3,2020,3,2020,"BLACKSEA",3
3,2020,6,2020,"PI_SM",33
3,2020,4,2020,"KR",9
3,2020,5,2020,"AMSA",1
3,2020,11,2020,"PI_SM",8
4,2020,5,2020,"LBR",12
4,2020,9,2020,"PI_SC",1
4,2020,4,2020,"PI_AM",1
4,2020,4,2020,"BV",117
4,2020,7,2020,"BV",344
4,2020,5,2020,"PI_SK",4703
4,2020,6,2020,"NG",13
4,2020,5,2020,"TU",3
4,2020,8,2020,"TU",1
4,2020,5,2020,"NG",14
4,2020,7,2020,"PI_SK",2991
4,2020,4,2020,"PI_SK",506
4,2020,5,2020,"CS",3
4,2020,5,2020,"TGO",2
4,2020,9,2020,"KNA",1
4,2020,6,2020,"HRV",1
4,2020,12,2020,"KP",1
5,2020,8,2020,"LBR",24
5,2020,6,2020,"LBR",10
5,2020,8,2020,"PI_AM",8
5,2020,9,2020,"MHL",134
5,2020,12,2020,"PI_WE",4
5,2020,9,2020,"PI_WE",9
5,2020,10,2020,"PI_WE",6
5,2020,7,2020,"CS",1193
5,2020,7,2020,"NG",8
5,2020,8,2020,"PI_GA",4
5,2020,8,2020,"NIS",2
5,2020,8,2020,"PI_SK",658
5,2020,6,2020,"PI_JS",5
5,2020,12,2020,"PI_JS",6
5,2020,8,2020,"KR",12
5,2020,6,2020,"PI_SK",12
5,2020,8,2020,"DB",1
5,2020,11,2020,"CS",238
5,2020,10,2020,"PLW",5
5,2020,7,2020,"PLW",3
6,2020,9,2020,"BV",94
6,2020,1,2021,"BV",9
6,2020,9,2020,"DMA",1
6,2020,9,2020,"MLT",5
6,2020,7,2020,"PI_JS",2
6,2020,7,2020,"PI_SK",71
6,2020,6,2020,"NIS",2
6,2020,7,2020,"VN",4
6,2020,7,2020,"UKR",6
7,2020,9,2020,"IR",1
7,2020,10,2020,"NG",7
7,2020,7,2020,"IOM",1
7,2020,8,2020,"AMSA",5
7,2020,10,2020,"PI_WE",8
7,2020,10,2020,"NK",17
7,2020,7,2020,"PI_ST",3
7,2020,9,2020,"PI_SC",4
7,2020,8,2020,"MHL",30
7,2020,10,2020,"PLW",8
7,2020,8,2020,"PI_JS",4
7,2020,8,2020,"KR",12
7,2020,10,2020,"PI_GA",15
7,2020,12,2020,"CS",36
7,2020,9,2020,"PLW",3
7,2020,8,2020,"PI_GA",3
7,2020,12,2020,"MLT",1
8,2020,10,2020,"BV",78
8,2020,9,2020,"MHL",122
8,2020,10,2020,"PI_GA",5
8,2020,9,2020,"NK",28
8,2020,8,2020,"PI_AM",2
8,2020,10,2020,"RINA",46
8,2020,8,2020,"PI_SK",10
8,2020,9,2020,"KP",1
8,2020,9,2020,"TGO",1
8,2020,12,2020,"BLACKSEA",1
8,2020,10,2020,"MLT",2
8,2020,9,2020,"VN",6
8,2020,10,2020,"AMSA",5
8,2020,10,2020,"PH",3
8,2020,12,2020,"RINA",12
9,2020,11,2020,"LBR",15
9,2020,12,2020,"IR",15
9,2020,9,2020,"CS",27
9,2020,10,2020,"DB",8
9,2020,9,2020,"PI_ST",7
9,2020,11,2020,"KR",43
9,2020,12,2020,"PI_BR",6
9,2020,11,2020,"PLW",2
9,2020,9,2020,"PH",5
9,2020,10,2020,"AMSA",1
10,2020,10,2020,"MHL",13
10,2020,12,2020,"PI_BM",100
10,2020,12,2020,"TUR",7
10,2020,10,2020,"NK",7
10,2020,11,2020,"PH",1
10,2020,10,2020,"RINA",5
10,2020,12,2020,"TU",1
10,2020,11,2020,"VCT",3
10,2020,12,2020,"KP",4
11,2020,12,2020,"PI_SK",25
11,2020,11,2020,"PI_SC",2
11,2020,12,2020,"NK",53
11,2020,11,2020,"MHL",13
11,2020,11,2020,"KI",1
11,2020,12,2020,"TGO",1
11,2020,12,2020,"TUR",4
11,2020,12,2020,"DB",3
11,2020,12,2020,"MLT",1
11,2020,12,2020,"BV",1
11,2020,12,2020,"KR",13
11,2020,11,2020,"PI_SM",1
12,2020,12,2020,"LBR",2
12,2020,1,2021,"TGO",1
12,2020,1,2021,"NK",3
12,2020,2,2021,"LR",18
1,2021,1,2021,"PI_WE",37
1,2021,1,2021,"DMA",2
1,2021,1,2021,"AMSA",6
1,2021,1,2021,"MLT",3
1,2021,2,2021,"PI_SM",7
2,2021,2,2021,"TU",1
1,2020,9,2020,"BV",90
1,2020,2,2020,"NIS",9
1,2020,7,2020,"PI_GA",5
1,2020,3,2020,"BV",170
1,2020,4,2020,"LBR",10
1,2020,1,2020,"LBR",4
1,2020,3,2020,"VCT",8
1,2020,1,2020,"CYP",1
1,2020,3,2020,"PH",5
1,2020,4,2020,"GEO",2
1,2020,12,2020,"PI_WE",24
1,2020,1,2020,"PI_WE",2
1,2020,3,2020,"MHL",247
1,2020,2,2020,"CS",2
1,2020,3,2020,"PI_JS",27
1,2020,8,2020,"PI_WE",7
1,2020,4,2020,"PI_ST",2
1,2020,5,2020,"PI_SM",3
2,2020,9,2020,"BV",120
2,2020,3,2020,"PI_WE",12
2,2020,3,2020,"NK",57
2,2020,4,2020,"TGO",2
2,2020,5,2020,"NIS",7
2,2020,4,2020,"VN",3
2,2020,7,2020,"PI_GA",4
2,2020,7,2020,"NG",10
2,2020,9,2020,"TUR",16
2,2020,2,2020,"TGO",2
2,2020,9,2020,"PI_ST",22
2,2020,5,2020,"PI_ST",7
3,2020,3,2020,"PI_AM",14
3,2020,8,2020,"PI_AM",6
3,2020,9,2020,"RINA",2
3,2020,5,2020,"KR",48
3,2020,4,2020,"VCT",8
3,2020,7,2020,"NK",15
3,2020,3,2020,"VZ",1
3,2020,3,2020,"COK",1
3,2020,8,2020,"PI_WE",24
3,2020,3,2020,"NIS",3
3,2020,9,2020,"PI_ST",18
3,2020,3,2020,"PI_ST",3
3,2020,6,2020,"PI_ST",4
3,2020,7,2020,"PI_SM",4
4,2020,4,2020,"PI_GA",5
4,2020,8,2020,"PI_AM",10
4,2020,6,2020,"TUR",2
4,2020,7,2020,"NK",4
4,2020,4,2020,"PI_ST",2
4,2020,8,2020,"VN",5
4,2020,5,2020,"PI_JS",3
4,2020,5,2020,"PI_ST",7
4,2020,9,2020,"PI_ST",10
4,2020,4,2020,"TGO",3
4,2020,6,2020,"KNA",1
4,2020,8,2020,"PI_SM",8
4,2020,9,2020,"HRV",1
5,2020,10,2020,"TUV",1
5,2020,9,2020,"TUV",1
5,2020,5,2020,"LBR",4
5,2020,5,2020,"PI_AM",3
5,2020,11,2020,"PI_GA",1
5,2020,5,2020,"MHL",6
5,2020,5,2020,"KI",1
5,2020,7,2020,"TUR",3
5,2020,11,2020,"TUR",7
5,2020,7,2020,"PI_WE",5
5,2020,9,2020,"NG",11
5,2020,7,2020,"NIS",2
5,2020,8,2020,"PI_ST",15
5,2020,12,2020,"NK",14
5,2020,6,2020,"MHL",12
5,2020,7,2020,"PI_GA",2
5,2020,7,2020,"PI_SM",2
